epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3994.08,1.01278,0.56441,0.99374,0.92036,0.78151,0.88439,0.61728,0.97071,0.53575,1.02404,0.0004655,0.0004655,0.0004655
64,4058.15,1.0112,0.56506,0.9924,0.91087,0.78613,0.88675,0.61646,0.97022,0.53204,1.01188,0.00044075,0.00044075,0.00044075
65,4121.89,1.00022,0.5619,0.99454,0.91845,0.78028,0.8832,0.61165,0.98117,0.53962,1.01758,0.000416,0.000416,0.000416
66,4185.65,0.99063,0.55924,0.99624,0.9099,0.78191,0.88004,0.60867,0.98519,0.54431,1.0236,0.00039125,0.00039125,0.00039125
67,4249.68,0.99832,0.556,0.98851,0.90887,0.78887,0.8848,0.6146,0.97683,0.53213,1.01785,0.0003665,0.0003665,0.0003665
68,4314.47,1.00309,0.56058,0.98949,0.90505,0.78396,0.88547,0.62055,0.96598,0.53371,1.01951,0.00034175,0.00034175,0.00034175
69,4378.39,0.98354,0.54914,0.99037,0.90583,0.78478,0.8824,0.61498,0.97331,0.52718,1.01649,0.000317,0.000317,0.000317
70,4442.34,0.99676,0.55086,0.98119,0.91403,0.79173,0.88851,0.62255,0.95803,0.52087,1.01251,0.00029225,0.00029225,0.00029225
71,4513.89,0.9834,0.54915,1.01106,0.8985,0.80606,0.89216,0.62335,0.95767,0.525,1.01153,0.0002675,0.0002675,0.0002675
72,4577.12,0.96234,0.53927,1.0033,0.91273,0.78736,0.88568,0.61155,0.97969,0.52564,1.02102,0.00024275,0.00024275,0.00024275
73,4640.74,0.95595,0.52949,0.99533,0.89932,0.78583,0.88179,0.61061,0.9858,0.52863,1.02335,0.000218,0.000218,0.000218
74,4704.71,0.95521,0.52466,1.00001,0.89966,0.80708,0.8902,0.62113,0.95955,0.51915,1.01466,0.00019325,0.00019325,0.00019325
75,4767.96,0.95479,0.52321,1.00011,0.90727,0.79664,0.88798,0.61838,0.96885,0.51977,1.02275,0.0001685,0.0001685,0.0001685
76,4831.16,0.95157,0.52103,0.9988,0.91258,0.80115,0.89114,0.62233,0.96996,0.5151,1.01797,0.00014375,0.00014375,0.00014375
77,5863.6,0.95354,0.52487,0.99743,0.91872,0.78846,0.88807,0.6226,0.96274,0.51637,1.02199,0.000119,0.000119,0.000119
78,7388.09,0.94603,0.52357,0.99694,0.90132,0.80196,0.88832,0.6207,0.9636,0.51443,1.01722,9.425e-05,9.425e-05,9.425e-05
